,Oedenma,Non_Enhancing,Enhancing,Background
0,70526,47,3218.0,8854209.0
1,23771,2307,5973.0,8895949.0
2,216095,25106,25735.0,8661064.0
3,59483,18042,54064.0,8796411.0
4,67155,5200,23272.0,8832373.0
5,33515,101170,4114.0,8789201.0
6,31713,2030,25463.0,8868794.0
7,135262,5976,13041.0,8773721.0
8,104151,31201,79903.0,8712745.0
9,44550,6368,9868.0,8867214.0
10,56966,91299,27410.0,8752325.0
11,87165,4556,40450.0,8795829.0
12,147034,21866,4144.0,8754956.0
13,69261,80489,35387.0,8742863.0
14,9757,460,8858.0,8908925.0
15,133618,34343,42366.0,8717673.0
16,63100,3391,7167.0,8854342.0
17,112303,15982,47361.0,8752354.0
18,31056,1847,3395.0,8891702.0
19,67698,5418,5158.0,8849726.0
20,95011,4123,11104.0,8817762.0
21,18041,319,5096.0,8904544.0
22,5908,5746,9281.0,8907065.0
23,81850,24279,28452.0,8793419.0
24,84003,25394,45111.0,8773492.0
25,70436,30245,32001.0,8795318.0
26,9079,585,5166.0,8913170.0
27,54288,35326,58416.0,8779970.0
28,32413,7308,108.0,8888171.0
29,19316,8796,157.0,8899731.0
30,45386,11654,7838.0,8863122.0
31,29453,11766,14939.0,8871842.0
32,83799,15588,6064.0,8822549.0
33,23845,901,1172.0,8902082.0
34,76205,3940,9371.0,8838484.0
35,23847,13017,17492.0,8873644.0
36,59575,3342,10910.0,8854173.0
37,46059,8035,5818.0,8868088.0
38,45203,57655,17816.0,8807326.0
39,35716,28165,50134.0,8813985.0
40,124893,15845,3058.0,8784204.0
41,30864,7099,38275.0,8851762.0
42,10759,21024,17856.0,8878361.0
43,51299,9160,6549.0,8860992.0
44,26582,13413,3736.0,8884269.0
45,72888,17388,19875.0,8817849.0
46,7981,310,4678.0,8915031.0
47,76402,4749,29059.0,8817790.0
48,20372,11848,352.0,8895428.0
49,90211,22380,53584.0,8761825.0
50,67268,10430,23187.0,8827115.0
51,120022,114471,4450.0,8689057.0
52,133618,34308,42366.0,8717708.0
53,67401,14160,23754.0,8822685.0
54,153727,10781,1001.0,8762491.0
55,47888,26728,31070.0,8822314.0
56,71117,10113,14983.0,8831787.0
57,35415,26912,18353.0,8847320.0
58,16117,389,,
59,72192,9219,3672.0,8842917.0
60,87050,35617,26937.0,8778396.0
61,41544,16347,39042.0,8831067.0
62,153225,28787,11596.0,8734392.0
63,79010,13949,30195.0,8804846.0
64,127189,20445,22473.0,8757893.0
65,58585,5522,,
66,90806,20231,26264.0,8790699.0
67,110825,25666,7387.0,8784122.0
68,21238,7774,40616.0,8858372.0
69,131242,31605,5899.0,8759254.0
70,77096,10902,15498.0,8824504.0
71,170851,17012,8572.0,8731565.0
72,48282,37169,8726.0,8833823.0
73,49555,11782,18881.0,8847782.0
74,128368,27979,16984.0,8754669.0
75,23689,51737,72360.0,8780214.0
76,18697,6805,6061.0,8896437.0
77,93205,19106,6168.0,8809521.0
78,113093,16411,19840.0,8778656.0
79,84679,72190,27851.0,8743280.0
80,53568,1654,18368.0,8854410.0
81,59867,34595,84818.0,8748720.0
82,88398,8478,2927.0,8828197.0
83,34894,4514,21677.0,8866915.0
84,117498,82239,1248.0,8727015.0
85,9446,991,,
86,126003,11698,60991.0,8729308.0
87,41617,60510,344.0,8825529.0
88,25432,5862,241.0,8896465.0
89,36291,688,3475.0,8887546.0
90,27992,18522,20240.0,8861246.0
91,52828,9313,18255.0,8847604.0
92,11711,204,1037.0,8915048.0
93,53050,27189,31485.0,8816276.0
94,13852,9230,8450.0,8896468.0
95,90387,8884,18666.0,8810063.0
96,39925,7646,7195.0,8873234.0
97,37481,12416,18221.0,8859882.0
98,51852,24961,30381.0,8820806.0
99,17488,11694,14699.0,8884119.0
100,27590,7469,9460.0,8883481.0
101,42576,8446,29412.0,8847566.0
